state,afr_ancs,eur_ancs,ami_ancs,region_ori
México,0.067527,0.301474,0.627647,center
Coahuila,0.055172,0.367021,0.57081,north
San Luis Potosí,1e-5,2.03e-4,0.996501,north
Nuevo León,1e-5,1e-5,0.99996,north
San Luis Potosí,0.044785,0.237321,0.717875,north
Zacatecas,0.044422,0.274157,0.680249,north
Nuevo León,0.049815,0.302435,0.647224,north
Tamaulipas,0.049084,0.255558,0.681458,north
Veracruz,0.009526,0.293547,0.688295,center
Veracruz,0.04003,0.290924,0.650441,center
Veracruz,1e-5,1e-5,0.999952,center
Nuevo León,0.046095,0.349986,0.592682,north
Veracruz,1e-5,1e-5,0.99996,center
Nuevo León,0.034568,0.194338,0.744544,north
Tabasco,0.005651,9.41e-4,0.985271,south
Nuevo León,0.074024,0.253084,0.672045,north
San Luis Potosí,9.51e-4,0.041783,0.952345,north
Zacatecas,0.075238,0.288666,0.636076,north
Nuevo León,0.017055,0.126154,0.848715,north
Veracruz,6.26e-4,3.6e-5,0.996043,center
Nuevo León,0.049284,0.414586,0.521383,north
Nuevo León,0.059656,0.276297,0.647266,north
Nuevo León,0.069025,0.236717,0.682236,north
San Luis Potosí,5.4e-5,1e-5,0.997553,north
San Luis Potosí,1e-5,1e-5,0.99996,north
Zacatecas,0.054813,0.304718,0.63096,north
Veracruz,0.056762,0.530946,0.399311,center
Nuevo León,0.068596,0.418885,0.509046,north
Veracruz,1e-5,1e-5,0.99996,center
Nuevo León,0.03925,0.440597,0.520133,north
Nuevo León,0.060423,0.334878,0.59273,north
Nuevo León,0.0374,0.305349,0.653972,north
Nuevo León,0.044798,0.50561,0.449572,north
Hidalgo,0.052372,0.254563,0.674055,center
Nuevo León,0.086488,0.307324,0.590509,north
Nuevo León,0.062681,0.324464,0.602021,north
Puebla,0.045101,0.339834,0.608064,center
Nuevo León,0.057865,0.301665,0.618906,north
San Luis Potosí,0.016668,0.020701,0.956823,north
Tamaulipas,0.021515,0.35913,0.617556,north
Veracruz,0.042156,0.108313,0.837205,center
Tamaulipas,0.042113,0.33589,0.607184,north
Nuevo León,0.05265,0.263416,0.674953,north
San Luis Potosí,0.001857,0.003137,0.992141,north
Nuevo León,0.050068,0.301676,0.648237,north
Zacatecas,0.047672,0.29578,0.65001,north
Nuevo León,0.045955,0.394672,0.546106,north
Nuevo León,0.036083,0.370905,0.583519,north
Nuevo León,0.041591,0.295482,0.659277,north
México,0.008472,0.250466,0.725123,center
Nuevo León,0.046004,0.433344,0.505755,north
San Luis Potosí,0.033101,0.160657,0.78671,north
Tamaulipas,0.103315,0.328221,0.568445,north
Sonora,0.061656,0.519571,0.417884,north
