region	group1	group2	group3	group4
ORI	1e-05	0.351721	0.057016	0.591253
ORI	0.00845	0.224568	0.036151	0.730832
ORI	0.008121	0.251583	0.030673	0.709623
ORI	0.008649	0.307621	0.059779	0.623951
ORI	0.002959	0.410495	0.052831	0.533715
ORI	0.00236	0.366876	0.050814	0.57995
ORI	0.00423	0.260938	0.047431	0.687401
ORI	1e-05	0.6286	0.032517	0.338873
ORI	1e-05	0.512124	0.045893	0.441973
ORI	0.011852	0.018427	0.00228	0.967441
ORI	1e-05	0.577781	0.035542	0.386667
ORI	1e-05	0.398725	0.083227	0.518038
ORI	1e-05	0.207025	0.038035	0.75493
ORI	0.00486	0.391599	0.040266	0.563275
ORI	1e-05	0.692978	0.026124	0.280888
ORI	1e-05	0.389535	0.060359	0.550097
ORI	0.000386	0.415035	0.028583	0.555995
ORI	0.000482	0.64302	0.039085	0.317413
ORI	0.005162	0.001573	0.000331	0.992934
ORI	0.004691	0.445655	0.023916	0.525738
ORI	0.004778	0.312289	0.046711	0.636222
ORI	0.011068	0.250837	0.058601	0.679494
ORI	1e-05	0.442271	0.021268	0.53645
ORI	0.000369	0.312735	0.051643	0.635253
ORI	1e-05	0.357229	0.060001	0.58276
ORI	1e-05	0.452279	0.106352	0.44136
ORI	0.000387	0.319395	0.035995	0.644223
ORI	1e-05	0.735971	0.026182	0.237837
ORI	1e-05	0.341359	0.063913	0.594718
ORI	1e-05	0.447032	0.042732	0.510226
ORI	1e-05	0.42361	0.053865	0.522515
ORI	0.000191	0.443132	0.039499	0.517179
ORI	1e-05	0.458517	0.062648	0.478825
ORI	1e-05	0.422369	0.080144	0.497477
ORI	1e-05	0.188928	0.063857	0.747204
ORI	1e-05	0.41804	0.05189	0.53006
ORI	1e-05	0.460671	0.080297	0.459021
ORI	0.011279	0.310682	0.039009	0.63903
ORI	0.000778	0.408997	0.042828	0.547397
ORI	1e-05	0.407854	0.047504	0.544632
ORI	0.000576	0.376912	0.054734	0.567778
ORI	0.00051	0.304851	0.033205	0.661434
ORI	0.021717	0.315744	0.039859	0.62268
ORI	1e-05	0.451764	0.054165	0.494062
ORI	1e-05	0.324004	0.043301	0.632685
ORI	1e-05	0.450146	0.055284	0.49456
ORI	0.006393	0.033216	0.00113	0.959262
