run	pop	proportion
_0	MX-AMR	0.349772
_0	EAS	0.032383
_0	SAS	0.035106
_0	AFR	0.068565
_0	EUR	0.407535
_0	MX-AMR	0.458455
_0	EAS	0.039165
_0	SAS	0.02628
_0	AFR	0.049951
_0	EUR	0.715746
_0	MX-AMR	0.167182
_0	EAS	0.031356
_0	SAS	0.035765
_0	AFR	0.062739
_0	EUR	0.324706
_0	MX-AMR	0.53992
_0	EAS	0.044829
_0	SAS	0.027807
_0	AFR	0.014675
_0	EUR	0.095097
_0	MX-AMR	0.819951
_0	EAS	0.054212
_0	SAS	0.016065
_0	AFR	0.026626
_0	EUR	0.059993
_0	MX-AMR	0.846078
_0	EAS	0.044424
_0	SAS	0.022879
_0	AFR	0.075509
_0	EUR	0.314568
_0	MX-AMR	0.556919
_0	EAS	0.032457
_0	SAS	0.020548
_0	AFR	0.052571
_0	EUR	0.381904
_0	MX-AMR	0.50228
_0	EAS	0.030305
_0	SAS	0.032939
_0	AFR	0.061756
_0	EUR	0.286527
_0	MX-AMR	0.573297
_0	EAS	0.045831
_0	SAS	0.032589
_0	AFR	0.037864
_0	EUR	0.3777
_0	MX-AMR	0.508638
_0	EAS	0.048181
_0	SAS	0.027617
_0	AFR	0.082262
_0	EUR	0.180023
_0	MX-AMR	0.652144
_0	EAS	0.049704
_0	SAS	0.035868
_0	AFR	0.048365
_0	EUR	0.221312
_0	MX-AMR	0.650174
_0	EAS	0.047881
_0	SAS	0.032268
